ID,Name,Concepticon_ID,Concepticon_Gloss,Chinese_Gloss,Page
1_sky,sky,1732,SKY,天,242
2_sun,sun,1343,SUN,太阳,242
4_moon,moon,1313,MOON,月亮,242
5_star,star,1430,STAR,星星,242
7_cloud,cloud,1489,CLOUD,云,242
8_thunder,thunder,1150,THUNDER,雷,242
9_wind,wind,960,WIND,风,242
12_snow,snow,784,SNOW,雪,242
14_frost,frost,2034,FROST,霜,242
17_ice,ice,617,ICE,冰,242
18_fire,fire,221,FIRE,火,242
19_smoke,smoke,778,SMOKE (EXHAUST),烟,242
20_airbreath,air; breath,27,AIR,气,242
22_earth,earth,1228,EARTH (SOIL),土地,242
23_mountain,mountain,639,MOUNTAIN,山,242
24_hillsidemountainslope,hillside; mountain slope,3076,SLOPE,山坡,242
30_river,river,3311,FLOWING BODY OF WATER,河,242
31_lake,lake,624,LAKE,湖,242
32_sea,sea,1474,SEA,海,242
38_pathroad,path; road,2457,PATH OR ROAD,路,242
40_soilearth,soil; earth,1228,EARTH (SOIL),土,242
42_paddyfields,paddy fields,140,PADDY FIELD,水田,242
43_stone,stone,857,STONE,石头,242
44_sand,sand,671,SAND,沙子,242
46_mud,mud,640,MUD,泥巴,242
47_water,water,948,WATER,水,242
50_forest,forest,420,FOREST,森林,242
51_gold,gold,1369,GOLD,金子,243
52_silver,silver,759,SILVER,银子,243
53_copperbronze,"copper, bronze",3192,BRONZE OR COPPER,铜,243
54_iron,iron,621,IRON,铁,243
61_salt,salt,1274,SALT,盐,243
66_village,village,930,VILLAGE,村子,243
70_bridge,bridge,1011,BRIDGE,桥,243
74_head,head,1256,HEAD,头,243
75_hair,hair,2648,HAIR (HEAD),头发,243
79_eye,eye,1248,EYE,眼睛,243
94_breasts,breasts,1402,BREAST,乳房,243
96_belly,belly,1251,BELLY,肚子,243
103_foot,foot,1301,FOOT,脚,243
107_hand,hand,1277,HAND,手,243
109_finger,finger,1303,FINGER,手指,243
113_nail,nail,1258,FINGERNAIL,指甲,243
118_femalegenitals,female genitals,,VAGINA,女生殖器,243
120_skin,skin,763,SKIN,皮肤,243
125_scar,scar,497,SCAR,疤,243
129_blood,blood,946,BLOOD,血,243
130_tendonsinew,tendon; sinew,1137,TENDON,筋,243
132_brains,brains,1583,BRAIN,脑髓,243
133_bone,bone,1394,BONE,骨头,243
139_tongue,tongue,1205,TONGUE,舌头,243
143_lung,lung,688,LUNG,肺,243
144_heart,heart,1223,HEART,心脏,243
145_liver,liver,1224,LIVER,肝,243
148_stomach,stomach,819,STOMACH,胃,243
149_intestineguts,intestine; guts,1991,INTESTINES,肠子,243
150_bladder,bladder,1746,BLADDER,膀胱,243
151_excrement,excrement,675,FAECES (EXCREMENT),屎,243
153_fart,fart,1159,FART,屁,243
154_sweat,sweat,125,SWEAT (SUBSTANCE),汗,243
159_pus,pus,1808,PUS,脓,243
161_sound,sound,1811,SOUND OR NOISE,声音,243
162_corpse,corpse,767,CORPSE,尸体,243
165_hanchinese,Han Chinese,3373,HAN CHINESE,汉族,243
167_person,person,683,PERSON,人,243
172_oldlady,old lady,907,OLD WOMAN,老太太,243
173_man,man,1554,MAN,男人,243
174_woman,woman,962,WOMAN,妇女,243
179_soldier,soldier,1941,SOLDIER,士兵,243
194_thief,thief,1160,THIEF,贼,243
201_friend,friend,1325,FRIEND,朋友,244
213_guest,guest,1782,GUEST,客人,244
218_father,father,1217,FATHER,父亲,244
219_mother,mother,1216,MOTHER,母亲,244
220_son,son,1620,SON,儿子,244
222_daughter,daughter,1357,DAUGHTER,女儿,244
224_grandson,grandson,1618,GRANDSON,孙子,244
228_youngerbrother,younger brother,1760,YOUNGER BROTHER,弟弟,244
229_youngersister,younger sister,1761,YOUNGER SISTER,妹妹,244
234_nephew,nephew,1063,NEPHEW,侄子,244
235_brothers,brothers,1262,BROTHER,兄弟,244
238_unclemothersbrother,uncle (mother's brother),2692,MATERNAL UNCLE (MOTHER'S BROTHER),舅父,244
249_stepmother,stepmother,236,STEPMOTHER,继母,244
254_cattle,cattle,1153,CATTLE,牛,244
259_maggot,maggot,2640,LARVA,蛆,245
263_horn,horn,1393,HORN (ANATOMY),角,244
264_hoof,hoof,152,HOOF,蹄,244
268_horse,horse,615,HORSE,马,244
271_mare,mare,938,MARE,母马,244
274_sheepgeneral,sheep (general),2684,CAPRINE (GOAT OR SHEEP),羊,244
284_pig,pig,1337,PIG,猪,244
289_dog,dog,2009,DOG,狗,244
291_cat,cat,1208,CAT,猫,244
293_chicken,chicken,1318,CHICKEN,鸡,244
304_tiger,tiger,846,TIGER,老虎,244
306_dragon,dragon,2038,DRAGON,龙,244
308_monkey,monkey,1350,MONKEY,猴子,244
310_leopardpanther,leopard; panther,1139,LEOPARD,豹子,244
314_muntjacbarkingdeer,muntjac; barking deer,3152,MUNTJACS,麂子,244
316_musk,musk,,,麝香,244
319_hedgehog,hedgehog,1797,HEDGEHOG,刺猬,244
320_mouse,mouse,2139,MUROID (MOUSE OR RAT),老鼠,244
326_bird,bird,937,BIRD,鸟,244
327_birdsnest,bird's nest,539,NEST,鸟窝,244
340_pheasant,pheasant,3060,PHEASANT,野鸡,244
342_turtledove,turtledove,1853,DOVE,斑鸠,244
347_snake,snake,730,SNAKE,蛇,244
349_frog,frog,503,FROG,青蛙,245
351_fish,fish,227,FISH,鱼,245
352_scale,scale,266,SCALE,鳞,245
353_worm,worm,1219,WORM,虫,245
356_louse,louse,1392,LOUSE,虱子,245
360_mosquito,mosquito,1509,MOSQUITO,蚊子,245
364_leech,leech,949,WATER LEECH,蚂蟥,245
365_ant,ant,587,ANT,蚂蚁,245
367_bee,bee,665,BEE,蜂蜜,245
372_tree,tree,906,TREE,树,245
375_root,root,670,ROOT,根,245
376_leaf,leaf,628,LEAF,叶子,245
382_willow,willow,818,WILLOW,柳树,245
385_pine,pine,1740,PINE,松树,245
387_resincolophony,"resin, colophony",664,RESIN,松香,245
388_pinetorches,pine torches,,,松明,245
389_bamboo,bamboo,1927,BAMBOO,竹子,245
390_canevine,"cane, vine",343,VINE,藤子,245
391_thornsplinter,thorn; splinter,124,THORN,刺儿,245
392_peach,peach,2043,PEACH,桃子,245
395_persimmon,persimmon,2044,PERSIMMON,柿子,245
397_chinesechestnut,Chinese chestnut,,,板栗,245
403_paddyrice,paddy rice,2026,RICE PLANT,水稻,245
404_glutinousrice,glutinous rice,2750,GLUTINOUS RICE,糯米,245
405_seed,seed,714,SEED,种子,245
406_riceseedling,(rice) seedling,3050,SEEDLING,种,245
407_earspike,ear; spike,3244,EAR (OF GRAIN),穗,245
408_ricestraw,rice straw,3391,RICE STRAW,稻草,245
410_wheat,wheat,1077,WHEAT,小麦,245
